
1687787952923 :: quotes :: {'symbols': 'MCX:SILVER23JULFUT'} :: 1687787953045 :: {'code': 200, 'd': [{'n': 'MCX:SILVER23JULFUT', 's': 'ok', 'v': {'ask': 69011, 'bid': 69001, 'ch': 915, 'chp': 1.34, 'cmd': {'c': 68998, 'h': 68998, 'l': 68994, 'o': 68994, 't': 1687787940, 'tf': '19:29', 'v': 3}, 'description': 'MCX:SILVER23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230705244731', 'high_price': 69462, 'low_price': 68599, 'lp': 68998, 'open_price': 68599, 'original_name': 'MCX:SILVER23JULFUT', 'prev_close_price': 68083, 'short_name': 'SILVER23JULFUT', 'spread': 10, 'symbol': 'MCX:SILVER23JULFUT', 'tt': '1687737600', 'volume': 10976}}], 'message': '', 's': 'ok'}
1687788168404 :: quotes :: {'symbols': 'MCX:SILVER23JULFUT'} :: 1687788168492 :: {'code': 200, 'd': [{'n': 'MCX:SILVER23JULFUT', 's': 'ok', 'v': {'ask': 68946, 'bid': 68934, 'ch': 862, 'chp': 1.27, 'cmd': {'c': 68945, 'h': 68990, 'l': 68919, 'o': 68990, 't': 1687788120, 'tf': '19:32', 'v': 12}, 'description': 'MCX:SILVER23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230705244731', 'high_price': 69462, 'low_price': 68599, 'lp': 68945, 'open_price': 68599, 'original_name': 'MCX:SILVER23JULFUT', 'prev_close_price': 68083, 'short_name': 'SILVER23JULFUT', 'spread': 12, 'symbol': 'MCX:SILVER23JULFUT', 'tt': '1687737600', 'volume': 11062}}], 'message': '', 's': 'ok'}

1687788179228 :: quotes :: {'symbols': 'MCX:SILVER23JULFUT'} :: 1687788179339 :: {'code': 200, 'd': [{'n': 'MCX:SILVER23JULFUT', 's': 'ok', 'v': {'ask': 68940, 'bid': 68926, 'ch': 862, 'chp': 1.27, 'cmd': {'c': 68945, 'h': 68990, 'l': 68919, 'o': 68990, 't': 1687788120, 'tf': '19:32', 'v': 12}, 'description': 'MCX:SILVER23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230705244731', 'high_price': 69462, 'low_price': 68599, 'lp': 68945, 'open_price': 68599, 'original_name': 'MCX:SILVER23JULFUT', 'prev_close_price': 68083, 'short_name': 'SILVER23JULFUT', 'spread': 14, 'symbol': 'MCX:SILVER23JULFUT', 'tt': '1687737600', 'volume': 11062}}], 'message': '', 's': 'ok'}

1687788190070 :: quotes :: {'symbols': 'MCX:SILVER23JULFUT'} :: 1687788190168 :: {'code': 200, 'd': [{'n': 'MCX:SILVER23JULFUT', 's': 'ok', 'v': {'ask': 68928, 'bid': 68914, 'ch': 862, 'chp': 1.27, 'cmd': {'c': 68945, 'h': 68945, 'l': 68945, 'o': 68945, 't': 1687788180, 'tf': '19:33', 'v': 0}, 'description': 'MCX:SILVER23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230705244731', 'high_price': 69462, 'low_price': 68599, 'lp': 68945, 'open_price': 68599, 'original_name': 'MCX:SILVER23JULFUT', 'prev_close_price': 68083, 'short_name': 'SILVER23JULFUT', 'spread': 14, 'symbol': 'MCX:SILVER23JULFUT', 'tt': '1687737600', 'volume': 11062}}], 'message': '', 's': 'ok'}

1687788201002 :: quotes :: {'symbols': 'MCX:SILVER23JULFUT'} :: 1687788201111 :: {'code': 200, 'd': [{'n': 'MCX:SILVER23JULFUT', 's': 'ok', 'v': {'ask': 68924, 'bid': 68913, 'ch': 830, 'chp': 1.22, 'cmd': {'c': 68913, 'h': 68945, 'l': 68913, 'o': 68945, 't': 1687788180, 'tf': '19:33', 'v': 4}, 'description': 'MCX:SILVER23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230705244731', 'high_price': 69462, 'low_price': 68599, 'lp': 68913, 'open_price': 68599, 'original_name': 'MCX:SILVER23JULFUT', 'prev_close_price': 68083, 'short_name': 'SILVER23JULFUT', 'spread': 11, 'symbol': 'MCX:SILVER23JULFUT', 'tt': '1687737600', 'volume': 11066}}], 'message': '', 's': 'ok'}

1687791074314 :: quotes :: {'symbols': 'MCX:SILVER23JULFUT'} :: 1687791074426 :: {'code': 200, 'd': [{'n': 'MCX:SILVER23JULFUT', 's': 'ok', 'v': {'ask': 69198, 'bid': 69182, 'ch': 1095, 'chp': 1.61, 'cmd': {'c': 69178, 'h': 69183, 'l': 69178, 'o': 69182, 't': 1687791060, 'tf': '20:21', 'v': 2}, 'description': 'MCX:SILVER23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230705244731', 'high_price': 69462, 'low_price': 68599, 'lp': 69178, 'open_price': 68599, 'original_name': 'MCX:SILVER23JULFUT', 'prev_close_price': 68083, 'short_name': 'SILVER23JULFUT', 'spread': 16, 'symbol': 'MCX:SILVER23JULFUT', 'tt': '1687737600', 'volume': 12065}}], 'message': '', 's': 'ok'}

1687791075356 :: quotes :: {'symbols': 'MCX:ZINCMINI23JULFUT'} :: 1687791075460 :: {'code': 200, 'd': [{'n': 'MCX:ZINCMINI23JULFUT', 's': 'ok', 'v': {'ask': 211.75, 'bid': 211.7, 'ch': -2.25, 'chp': -1.05, 'cmd': {'c': 211.7, 'h': 211.8, 'l': 211.7, 'o': 211.8, 't': 1687791000, 'tf': '20:20', 'v': 2}, 'description': 'MCX:ZINCMINI23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230731253819', 'high_price': 214.5, 'low_price': 211, 'lp': 211.7, 'open_price': 214.5, 'original_name': 'MCX:ZINCMINI23JULFUT', 'prev_close_price': 213.95, 'short_name': 'ZINCMINI23JULFUT', 'spread': 0.05, 'symbol': 'MCX:ZINCMINI23JULFUT', 'tt': '1687737600', 'volume': 4917}}], 'message': '', 's': 'ok'}

1687791076246 :: quotes :: {'symbols': 'MCX:CRUDEOIL23JULFUT'} :: 1687791076366 :: {'code': 200, 'd': [{'n': 'MCX:CRUDEOIL23JULFUT', 's': 'ok', 'v': {'ask': 5693, 'bid': 5691, 'ch': 17, 'chp': 0.3, 'cmd': {'c': 5692, 'h': 5694, 'l': 5691, 'o': 5694, 't': 1687791060, 'tf': '20:21', 'v': 8}, 'description': 'MCX:CRUDEOIL23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230719252453', 'high_price': 5760, 'low_price': 5654, 'lp': 5692, 'open_price': 5686, 'original_name': 'MCX:CRUDEOIL23JULFUT', 'prev_close_price': 5675, 'short_name': 'CRUDEOIL23JULFUT', 'spread': 2, 'symbol': 'MCX:CRUDEOIL23JULFUT', 'tt': '1687737600', 'volume': 23704}}], 'message': '', 's': 'ok'}

1687791087236 :: quotes :: {'symbols': 'MCX:SILVER23JULFUT'} :: 1687791087325 :: {'code': 200, 'd': [{'n': 'MCX:SILVER23JULFUT', 's': 'ok', 'v': {'ask': 69189, 'bid': 69175, 'ch': 1097, 'chp': 1.61, 'cmd': {'c': 69180, 'h': 69183, 'l': 69178, 'o': 69182, 't': 1687791060, 'tf': '20:21', 'v': 5}, 'description': 'MCX:SILVER23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230705244731', 'high_price': 69462, 'low_price': 68599, 'lp': 69180, 'open_price': 68599, 'original_name': 'MCX:SILVER23JULFUT', 'prev_close_price': 68083, 'short_name': 'SILVER23JULFUT', 'spread': 14, 'symbol': 'MCX:SILVER23JULFUT', 'tt': '1687737600', 'volume': 12068}}], 'message': '', 's': 'ok'}

1687791088171 :: quotes :: {'symbols': 'MCX:ZINCMINI23JULFUT'} :: 1687791088259 :: {'code': 200, 'd': [{'n': 'MCX:ZINCMINI23JULFUT', 's': 'ok', 'v': {'ask': 211.75, 'bid': 211.7, 'ch': -2.25, 'chp': -1.05, 'cmd': {'c': 211.7, 'h': 211.7, 'l': 211.7, 'o': 211.7, 't': 1687791060, 'tf': '20:21', 'v': 0}, 'description': 'MCX:ZINCMINI23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230731253819', 'high_price': 214.5, 'low_price': 211, 'lp': 211.7, 'open_price': 214.5, 'original_name': 'MCX:ZINCMINI23JULFUT', 'prev_close_price': 213.95, 'short_name': 'ZINCMINI23JULFUT', 'spread': 0.05, 'symbol': 'MCX:ZINCMINI23JULFUT', 'tt': '1687737600', 'volume': 4917}}], 'message': '', 's': 'ok'}

1687791089009 :: quotes :: {'symbols': 'MCX:CRUDEOIL23JULFUT'} :: 1687791089105 :: {'code': 200, 'd': [{'n': 'MCX:CRUDEOIL23JULFUT', 's': 'ok', 'v': {'ask': 5692, 'bid': 5691, 'ch': 18, 'chp': 0.32, 'cmd': {'c': 5693, 'h': 5694, 'l': 5691, 'o': 5694, 't': 1687791060, 'tf': '20:21', 'v': 9}, 'description': 'MCX:CRUDEOIL23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230719252453', 'high_price': 5760, 'low_price': 5654, 'lp': 5693, 'open_price': 5686, 'original_name': 'MCX:CRUDEOIL23JULFUT', 'prev_close_price': 5675, 'short_name': 'CRUDEOIL23JULFUT', 'spread': 1, 'symbol': 'MCX:CRUDEOIL23JULFUT', 'tt': '1687737600', 'volume': 23705}}], 'message': '', 's': 'ok'}

1687791099845 :: quotes :: {'symbols': 'MCX:SILVER23JULFUT'} :: 1687791099949 :: {'code': 200, 'd': [{'n': 'MCX:SILVER23JULFUT', 's': 'ok', 'v': {'ask': 69185, 'bid': 69175, 'ch': 1094, 'chp': 1.61, 'cmd': {'c': 69177, 'h': 69183, 'l': 69177, 'o': 69182, 't': 1687791060, 'tf': '20:21', 'v': 9}, 'description': 'MCX:SILVER23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230705244731', 'high_price': 69462, 'low_price': 68599, 'lp': 69177, 'open_price': 68599, 'original_name': 'MCX:SILVER23JULFUT', 'prev_close_price': 68083, 'short_name': 'SILVER23JULFUT', 'spread': 10, 'symbol': 'MCX:SILVER23JULFUT', 'tt': '1687737600', 'volume': 12072}}], 'message': '', 's': 'ok'}

1687791100692 :: quotes :: {'symbols': 'MCX:ZINCMINI23JULFUT'} :: 1687791100803 :: {'code': 200, 'd': [{'n': 'MCX:ZINCMINI23JULFUT', 's': 'ok', 'v': {'ask': 211.75, 'bid': 211.7, 'ch': -2.25, 'chp': -1.05, 'cmd': {'c': 211.7, 'h': 211.7, 'l': 211.7, 'o': 211.7, 't': 1687791060, 'tf': '20:21', 'v': 0}, 'description': 'MCX:ZINCMINI23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230731253819', 'high_price': 214.5, 'low_price': 211, 'lp': 211.7, 'open_price': 214.5, 'original_name': 'MCX:ZINCMINI23JULFUT', 'prev_close_price': 213.95, 'short_name': 'ZINCMINI23JULFUT', 'spread': 0.05, 'symbol': 'MCX:ZINCMINI23JULFUT', 'tt': '1687737600', 'volume': 4917}}], 'message': '', 's': 'ok'}

1687791101566 :: quotes :: {'symbols': 'MCX:CRUDEOIL23JULFUT'} :: 1687791101856 :: {'code': 200, 'd': [{'n': 'MCX:CRUDEOIL23JULFUT', 's': 'ok', 'v': {'ask': 5692, 'bid': 5690, 'ch': 16, 'chp': 0.28, 'cmd': {'c': 5691, 'h': 5694, 'l': 5691, 'o': 5694, 't': 1687791060, 'tf': '20:21', 'v': 11}, 'description': 'MCX:CRUDEOIL23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230719252453', 'high_price': 5760, 'low_price': 5654, 'lp': 5691, 'open_price': 5686, 'original_name': 'MCX:CRUDEOIL23JULFUT', 'prev_close_price': 5675, 'short_name': 'CRUDEOIL23JULFUT', 'spread': 2, 'symbol': 'MCX:CRUDEOIL23JULFUT', 'tt': '1687737600', 'volume': 23707}}], 'message': '', 's': 'ok'}

1687791112621 :: quotes :: {'symbols': 'MCX:SILVER23JULFUT'} :: 1687791112717 :: {'code': 200, 'd': [{'n': 'MCX:SILVER23JULFUT', 's': 'ok', 'v': {'ask': 69183, 'bid': 69168, 'ch': 1092, 'chp': 1.6, 'cmd': {'c': 69175, 'h': 69183, 'l': 69175, 'o': 69182, 't': 1687791060, 'tf': '20:21', 'v': 12}, 'description': 'MCX:SILVER23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230705244731', 'high_price': 69462, 'low_price': 68599, 'lp': 69175, 'open_price': 68599, 'original_name': 'MCX:SILVER23JULFUT', 'prev_close_price': 68083, 'short_name': 'SILVER23JULFUT', 'spread': 15, 'symbol': 'MCX:SILVER23JULFUT', 'tt': '1687737600', 'volume': 12075}}], 'message': '', 's': 'ok'}

1687791113525 :: quotes :: {'symbols': 'MCX:ZINCMINI23JULFUT'} :: 1687791113614 :: {'code': 200, 'd': [{'n': 'MCX:ZINCMINI23JULFUT', 's': 'ok', 'v': {'ask': 211.75, 'bid': 211.7, 'ch': -2.25, 'chp': -1.05, 'cmd': {'c': 211.7, 'h': 211.7, 'l': 211.7, 'o': 211.7, 't': 1687791060, 'tf': '20:21', 'v': 1}, 'description': 'MCX:ZINCMINI23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230731253819', 'high_price': 214.5, 'low_price': 211, 'lp': 211.7, 'open_price': 214.5, 'original_name': 'MCX:ZINCMINI23JULFUT', 'prev_close_price': 213.95, 'short_name': 'ZINCMINI23JULFUT', 'spread': 0.05, 'symbol': 'MCX:ZINCMINI23JULFUT', 'tt': '1687737600', 'volume': 4918}}], 'message': '', 's': 'ok'}

1687791114301 :: quotes :: {'symbols': 'MCX:CRUDEOIL23JULFUT'} :: 1687791114389 :: {'code': 200, 'd': [{'n': 'MCX:CRUDEOIL23JULFUT', 's': 'ok', 'v': {'ask': 5694, 'bid': 5692, 'ch': 16, 'chp': 0.28, 'cmd': {'c': 5691, 'h': 5694, 'l': 5691, 'o': 5694, 't': 1687791060, 'tf': '20:21', 'v': 11}, 'description': 'MCX:CRUDEOIL23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230719252453', 'high_price': 5760, 'low_price': 5654, 'lp': 5691, 'open_price': 5686, 'original_name': 'MCX:CRUDEOIL23JULFUT', 'prev_close_price': 5675, 'short_name': 'CRUDEOIL23JULFUT', 'spread': 2, 'symbol': 'MCX:CRUDEOIL23JULFUT', 'tt': '1687737600', 'volume': 23707}}], 'message': '', 's': 'ok'}

1687791125138 :: quotes :: {'symbols': 'MCX:SILVER23JULFUT'} :: 1687791125236 :: {'code': 200, 'd': [{'n': 'MCX:SILVER23JULFUT', 's': 'ok', 'v': {'ask': 69176, 'bid': 69163, 'ch': 1092, 'chp': 1.6, 'cmd': {'c': 69175, 'h': 69175, 'l': 69175, 'o': 69175, 't': 1687791120, 'tf': '20:22', 'v': 0}, 'description': 'MCX:SILVER23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230705244731', 'high_price': 69462, 'low_price': 68599, 'lp': 69175, 'open_price': 68599, 'original_name': 'MCX:SILVER23JULFUT', 'prev_close_price': 68083, 'short_name': 'SILVER23JULFUT', 'spread': 13, 'symbol': 'MCX:SILVER23JULFUT', 'tt': '1687737600', 'volume': 12075}}], 'message': '', 's': 'ok'}

1687791126330 :: quotes :: {'symbols': 'MCX:ZINCMINI23JULFUT'} :: 1687791126821 :: {'code': 200, 'd': [{'n': 'MCX:ZINCMINI23JULFUT', 's': 'ok', 'v': {'ask': 211.75, 'bid': 211.7, 'ch': -2.25, 'chp': -1.05, 'cmd': {'c': 211.7, 'h': 211.7, 'l': 211.7, 'o': 211.7, 't': 1687791120, 'tf': '20:22', 'v': 0}, 'description': 'MCX:ZINCMINI23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230731253819', 'high_price': 214.5, 'low_price': 211, 'lp': 211.7, 'open_price': 214.5, 'original_name': 'MCX:ZINCMINI23JULFUT', 'prev_close_price': 213.95, 'short_name': 'ZINCMINI23JULFUT', 'spread': 0.05, 'symbol': 'MCX:ZINCMINI23JULFUT', 'tt': '1687737600', 'volume': 4918}}], 'message': '', 's': 'ok'}

1687791127519 :: quotes :: {'symbols': 'MCX:CRUDEOIL23JULFUT'} :: 1687791127704 :: {'code': 200, 'd': [{'n': 'MCX:CRUDEOIL23JULFUT', 's': 'ok', 'v': {'ask': 5695, 'bid': 5693, 'ch': 18, 'chp': 0.32, 'cmd': {'c': 5693, 'h': 5693, 'l': 5691, 'o': 5691, 't': 1687791120, 'tf': '20:22', 'v': 1}, 'description': 'MCX:CRUDEOIL23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230719252453', 'high_price': 5760, 'low_price': 5654, 'lp': 5693, 'open_price': 5686, 'original_name': 'MCX:CRUDEOIL23JULFUT', 'prev_close_price': 5675, 'short_name': 'CRUDEOIL23JULFUT', 'spread': 2, 'symbol': 'MCX:CRUDEOIL23JULFUT', 'tt': '1687737600', 'volume': 23708}}], 'message': '', 's': 'ok'}

1687791138419 :: quotes :: {'symbols': 'MCX:SILVER23JULFUT'} :: 1687791138578 :: {'code': 200, 'd': [{'n': 'MCX:SILVER23JULFUT', 's': 'ok', 'v': {'ask': 69191, 'bid': 69176, 'ch': 1092, 'chp': 1.6, 'cmd': {'c': 69175, 'h': 69175, 'l': 69175, 'o': 69175, 't': 1687791120, 'tf': '20:22', 'v': 0}, 'description': 'MCX:SILVER23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230705244731', 'high_price': 69462, 'low_price': 68599, 'lp': 69175, 'open_price': 68599, 'original_name': 'MCX:SILVER23JULFUT', 'prev_close_price': 68083, 'short_name': 'SILVER23JULFUT', 'spread': 15, 'symbol': 'MCX:SILVER23JULFUT', 'tt': '1687737600', 'volume': 12075}}], 'message': '', 's': 'ok'}

1687791139301 :: quotes :: {'symbols': 'MCX:ZINCMINI23JULFUT'} :: 1687791139486 :: {'code': 200, 'd': [{'n': 'MCX:ZINCMINI23JULFUT', 's': 'ok', 'v': {'ask': 211.75, 'bid': 211.7, 'ch': -2.25, 'chp': -1.05, 'cmd': {'c': 211.7, 'h': 211.7, 'l': 211.7, 'o': 211.7, 't': 1687791120, 'tf': '20:22', 'v': 0}, 'description': 'MCX:ZINCMINI23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230731253819', 'high_price': 214.5, 'low_price': 211, 'lp': 211.7, 'open_price': 214.5, 'original_name': 'MCX:ZINCMINI23JULFUT', 'prev_close_price': 213.95, 'short_name': 'ZINCMINI23JULFUT', 'spread': 0.05, 'symbol': 'MCX:ZINCMINI23JULFUT', 'tt': '1687737600', 'volume': 4918}}], 'message': '', 's': 'ok'}

1687791140310 :: quotes :: {'symbols': 'MCX:CRUDEOIL23JULFUT'} :: 1687791140478 :: {'code': 200, 'd': [{'n': 'MCX:CRUDEOIL23JULFUT', 's': 'ok', 'v': {'ask': 5696, 'bid': 5694, 'ch': 18, 'chp': 0.32, 'cmd': {'c': 5693, 'h': 5693, 'l': 5691, 'o': 5691, 't': 1687791120, 'tf': '20:22', 'v': 1}, 'description': 'MCX:CRUDEOIL23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230719252453', 'high_price': 5760, 'low_price': 5654, 'lp': 5693, 'open_price': 5686, 'original_name': 'MCX:CRUDEOIL23JULFUT', 'prev_close_price': 5675, 'short_name': 'CRUDEOIL23JULFUT', 'spread': 2, 'symbol': 'MCX:CRUDEOIL23JULFUT', 'tt': '1687737600', 'volume': 23708}}], 'message': '', 's': 'ok'}

1687791151276 :: quotes :: {'symbols': 'MCX:SILVER23JULFUT'} :: 1687791151485 :: {'code': 200, 'd': [{'n': 'MCX:SILVER23JULFUT', 's': 'ok', 'v': {'ask': 69195, 'bid': 69182, 'ch': 1109, 'chp': 1.63, 'cmd': {'c': 69192, 'h': 69192, 'l': 69175, 'o': 69175, 't': 1687791120, 'tf': '20:22', 'v': 2}, 'description': 'MCX:SILVER23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230705244731', 'high_price': 69462, 'low_price': 68599, 'lp': 69192, 'open_price': 68599, 'original_name': 'MCX:SILVER23JULFUT', 'prev_close_price': 68083, 'short_name': 'SILVER23JULFUT', 'spread': 13, 'symbol': 'MCX:SILVER23JULFUT', 'tt': '1687737600', 'volume': 12077}}], 'message': '', 's': 'ok'}

1687791152290 :: quotes :: {'symbols': 'MCX:ZINCMINI23JULFUT'} :: 1687791152459 :: {'code': 200, 'd': [{'n': 'MCX:ZINCMINI23JULFUT', 's': 'ok', 'v': {'ask': 211.75, 'bid': 211.7, 'ch': -2.25, 'chp': -1.05, 'cmd': {'c': 211.7, 'h': 211.7, 'l': 211.7, 'o': 211.7, 't': 1687791120, 'tf': '20:22', 'v': 0}, 'description': 'MCX:ZINCMINI23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230731253819', 'high_price': 214.5, 'low_price': 211, 'lp': 211.7, 'open_price': 214.5, 'original_name': 'MCX:ZINCMINI23JULFUT', 'prev_close_price': 213.95, 'short_name': 'ZINCMINI23JULFUT', 'spread': 0.05, 'symbol': 'MCX:ZINCMINI23JULFUT', 'tt': '1687737600', 'volume': 4918}}], 'message': '', 's': 'ok'}

1687791153270 :: quotes :: {'symbols': 'MCX:CRUDEOIL23JULFUT'} :: 1687791153491 :: {'code': 200, 'd': [{'n': 'MCX:CRUDEOIL23JULFUT', 's': 'ok', 'v': {'ask': 5699, 'bid': 5697, 'ch': 24, 'chp': 0.42, 'cmd': {'c': 5699, 'h': 5699, 'l': 5691, 'o': 5691, 't': 1687791120, 'tf': '20:22', 'v': 5}, 'description': 'MCX:CRUDEOIL23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230719252453', 'high_price': 5760, 'low_price': 5654, 'lp': 5699, 'open_price': 5686, 'original_name': 'MCX:CRUDEOIL23JULFUT', 'prev_close_price': 5675, 'short_name': 'CRUDEOIL23JULFUT', 'spread': 2, 'symbol': 'MCX:CRUDEOIL23JULFUT', 'tt': '1687737600', 'volume': 23712}}], 'message': '', 's': 'ok'}

